CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CG042039,2,CG,9704131305,97,4,13,7,5,7,114,0,1,3,1,2,50,1,1,2,2,16,1,1,4,3,8,20,3,2
CF038798,2,CF,9704131200,97,4,12,7,5,7,116,0,1,2,1,2,50,1,1,2,1,13,2,3,1,1,6,9,1,1
CF038798,2,CF,9704131200,97,4,12,7,5,7,116,0,1,2,1,2,50,1,1,2,1,13,2,6,1,1,4,12,1,1
C7007926,2,C7,9704131430,97,4,14,8,5,7,104,0,1,2,1,2,50,1,1,2,1,12,1,4,1,1,3,6,1,1
CB021236,2,CB,9704111008,97,4,10,6,4,5,105,0,1,2,1,2,30,2,4,2,4,17,1,4,1,1,5,13,1,1
C7005820,2,C7,9704131900,97,4,19,10,7,7,104,0,1,3,2,2,50,2,4,2,1,16,1,2,1,1,6,9,1,1
CI025973,2,CI,9704131640,97,4,16,9,6,7,110,0,4,3,1,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
CI025973,2,CI,9704131640,97,4,16,9,6,7,110,0,4,3,1,2,50,1,1,2,1,16,2,5,4,3,8,20,3,2
CI025973,2,CI,9704131640,97,4,16,9,6,7,110,0,4,3,1,2,50,1,1,2,1,16,2,3,4,3,8,20,3,2
CI026491,2,CI,9704122343,97,4,23,12,8,6,110,0,1,2,2,2,50,1,1,2,4,16,1,4,1,1,3,9,1,1
C6003299,2,C6,9704132045,97,4,20,11,7,7,108,0,2,3,2,2,50,1,1,2,2,11,2,3,1,1,6,5,1,1
C6003299,2,C6,9704132045,97,4,20,11,7,7,108,0,2,3,2,2,50,1,1,2,2,11,1,3,1,1,6,9,1,1
CE045812,2,CE,9704130846,97,4,8,5,3,7,116,0,3,2,1,2,50,1,1,2,1,17,2,4,4,3,8,20,3,2
C7005994,2,C7,9704151640,97,4,16,9,6,2,104,0,1,3,1,2,50,1,4,2,4,17,1,3,1,1,3,9,1,1
CA018500,2,CA,9704132123,97,4,21,11,8,7,100,0,1,3,2,2,50,1,1,2,2,17,2,5,1,1,6,9,1,1
C7008245,2,C7,9704132235,97,4,22,12,8,7,104,0,1,3,2,2,30,2,2,2,4,12,1,3,1,1,6,9,1,1
C5001903,2,C5,9704132240,97,4,22,12,8,7,103,0,1,3,2,2,50,2,6,2,4,17,1,4,1,1,3,9,1,1
C5000720,2,C5,9704132045,97,4,20,11,7,7,103,0,2,3,2,2,50,1,4,2,4,12,1,4,1,1,6,7,1,1
CC033902,2,CC,9704132210,97,4,22,12,8,7,111,0,2,3,2,2,50,1,1,2,4,16,1,3,1,4,6,9,1,1
C5002001,2,C5,9704132210,97,4,22,12,8,7,103,0,3,3,2,2,50,1,1,2,2,3,2,3,4,3,8,16,3,2
C5002001,2,C5,9704132210,97,4,22,12,8,7,103,0,3,3,2,2,50,1,1,2,2,3,2,1,4,3,8,20,3,2
C5000720,2,C5,9704132045,97,4,20,11,7,7,103,0,2,3,2,2,50,1,4,2,4,12,1,4,4,3,8,20,3,2
CH039902,2,CH,9704181545,97,4,15,8,6,5,115,0,2,3,1,2,50,1,1,2,1,12,2,4,1,1,6,9,1,1
C8013556,2,C8,9705131045,97,5,10,6,4,2,106,0,1,3,1,2,50,2,4,2,4,12,2,5,1,1,3,9,1,1
C7008720,2,C7,9704140315,97,4,3,2,2,1,104,0,1,2,2,2,50,1,1,2,1,15,1,3,1,1,6,9,1,1
C7008720,2,C7,9704140315,97,4,3,2,2,1,104,0,1,2,2,2,50,1,1,2,1,15,1,5,1,1,4,1,1,1
CG042567,2,CG,9704121030,97,4,10,6,4,6,114,0,1,2,1,2,50,1,1,2,2,8,2,7,4,3,8,17,3,1
CD035591,2,CD,9704121210,97,4,12,7,5,6,112,0,1,3,1,2,50,1,1,2,1,17,2,6,1,1,3,5,1,1
C6003357,2,C6,9704141640,97,4,16,9,6,1,108,0,1,3,1,2,50,1,1,2,3,12,1,8,1,1,6,5,1,1
CI026475,2,CI,9704090814,97,4,8,5,3,3,110,0,1,3,1,2,50,1,1,2,1,11,1,6,1,1,6,9,1,1
CD036958,2,CD,9703142030,97,3,20,11,7,5,112,0,1,2,2,2,30,4,6,1,3,11,1,3,1,1,3,9,1,1
CI026211,2,CI,9704101252,97,4,12,7,5,4,110,0,2,2,1,2,50,1,1,2,1,12,1,6,1,1,3,6,1,1
CI026211,2,CI,9704101252,97,4,12,7,5,4,110,0,2,2,1,2,50,1,1,2,1,12,1,3,1,1,6,9,1,1
CG041762,2,CG,9704080910,97,4,9,5,4,2,114,0,2,3,1,2,50,2,2,2,4,17,1,7,1,1,6,7,1,1
C5001711,2,C5,9703172040,97,3,20,11,7,1,103,0,1,2,2,2,30,1,1,2,1,15,1,4,1,1,3,5,1,1
CG041480,2,CG,9704100830,97,4,8,5,3,4,114,0,1,2,1,2,50,1,1,2,1,16,2,3,1,1,3,5,1,1
CG042561,2,CG,9704101755,97,4,17,9,6,4,114,0,1,3,1,2,50,1,1,2,4,15,2,5,1,1,3,9,1,1
C9017066,2,C9,9704081735,97,4,17,9,6,2,100,0,1,3,1,2,40,1,1,2,4,15,1,5,3,1,6,9,1,1
CG041940,2,CG,9704100800,97,4,8,5,3,4,114,0,1,2,1,2,40,1,1,1,4,17,1,5,1,1,6,9,1,1
C8100715,2,C8,9709221945,97,9,19,10,7,1,106,0,1,1,2,2,50,1,1,1,1,16,1,6,1,1,4,5,1,1
CI028371,2,CI,9709222130,97,9,21,11,8,1,110,0,1,1,2,2,50,1,1,1,1,15,2,6,1,1,3,9,1,1
CG045540,2,CG,9709222325,97,9,23,12,8,1,114,0,2,1,2,2,50,1,1,1,4,16,1,3,1,1,6,5,1,1
CD106036,2,CD,9709222215,97,9,22,12,8,1,112,0,2,3,2,2,50,1,1,2,1,16,1,4,1,1,3,5,1,1
CE100852,2,CE,9709220702,97,9,7,4,3,1,116,0,1,3,1,2,50,1,1,2,2,16,1,6,1,1,3,5,1,1
CD106185,2,CD,9709222300,97,9,23,12,8,1,112,0,1,3,2,2,50,1,1,2,1,16,1,2,1,1,6,9,1,1
CD106036,2,CD,9709222215,97,9,22,12,8,1,112,0,2,3,2,2,50,1,1,2,1,16,1,2,1,1,6,9,1,1
CD106036,2,CD,9709222215,97,9,22,12,8,1,112,0,2,3,2,2,50,1,1,2,1,16,2,3,4,3,8,20,3,1
C6100049,2,C6,9709222305,97,9,23,12,8,1,108,0,1,3,2,1,50,1,1,2,4,17,2,4,1,1,6,15,1,1
C6100049,2,C6,9709222305,97,9,23,12,8,1,108,0,1,3,2,1,50,1,1,2,4,17,1,4,3,4,3,13,4,2
C6100222,2,C6,9709220730,97,9,7,4,3,1,108,0,1,3,1,2,50,1,4,2,4,12,1,4,1,1,6,4,1,1
C6100222,2,C6,9709220730,97,9,7,4,3,1,108,0,1,3,1,2,50,1,4,2,4,12,2,2,1,1,6,9,1,1
C8100580,2,C8,9710250735,97,10,7,4,3,6,106,0,3,3,1,2,50,1,1,1,2,15,2,3,4,3,8,20,3,1
CH041186,2,CH,9709171610,97,9,16,9,6,3,115,0,2,2,1,2,50,1,1,2,4,3,1,6,4,3,8,16,3,1
C5105296,2,C5,9709180831,97,9,8,5,3,4,103,0,2,3,1,2,50,1,1,2,2,16,2,5,4,3,7,5,3,2
C7100621,2,C7,9709181830,97,9,18,10,7,4,104,0,1,3,1,2,50,1,6,2,2,12,1,6,1,1,4,9,1,1
CG100287,2,CG,9709181205,97,9,12,7,5,4,114,0,2,3,1,2,40,2,4,2,4,13,1,4,1,4,6,9,1,1
C7101019,2,C7,9709230655,97,9,6,4,3,2,104,0,1,3,1,2,50,2,4,2,4,12,1,3,1,1,6,13,1,1
C5105692,2,C5,9709212010,97,9,20,11,7,7,103,0,1,3,2,2,50,1,1,2,1,12,1,3,1,1,6,5,1,1
C5105692,2,C5,9709212010,97,9,20,11,7,7,103,0,1,3,2,2,50,1,1,2,1,12,2,3,1,1,8,20,3,2
CI028987,2,CI,9709211606,97,9,16,9,6,7,110,0,2,3,1,2,50,1,1,2,4,16,2,7,1,1,4,1,1,1
CI028251,2,CI,9709232123,97,9,21,11,8,2,110,0,2,3,2,2,50,2,4,2,4,16,1,3,1,1,6,9,1,1
CI028251,2,CI,9709232123,97,9,21,11,8,2,110,0,2,3,2,2,50,2,4,2,4,16,1,5,1,1,6,8,1,1
C7100896,2,C7,9709231600,97,9,16,9,6,2,104,0,2,3,1,2,50,1,1,2,4,16,2,6,1,1,6,5,1,1
C7100896,2,C7,9709231600,97,9,16,9,6,2,104,0,2,3,1,2,50,1,1,2,4,16,2,3,1,1,6,9,1,1
C9100695,2,C9,9709212030,97,9,20,11,7,7,100,0,1,3,2,2,40,1,1,2,1,12,1,3,1,1,3,6,1,1
C9100695,2,C9,9709212030,97,9,20,11,7,7,100,0,1,3,2,2,40,1,1,2,1,12,1,2,1,1,6,9,1,1
